80001,"3320 Bardstown Rd","Apt 47","Louisville",
80002,"1134 Oneida Ave","Louisville","KY","40214"
80003,"201 Bush Rd","Louisville","KY","40214"
80004,"8206 Hudson Ln","Louisville","KY","40291"
80005,"10808 Easum Rd","Louisville","KY","40299"
80006,"612 Turnstile Trce","Louisville","KY","40223"
80007,"7800 Conifer Dr","Louisville","KY","40258"
80008,"6615 Sun Ray Dr","Louisville","KY","40272"
80009,"606 Stivers Rd","Louisville","KY","40207"
80010,"3315 La Follette Dr","Louisville","KY","40299"
80011,"1038 Franelm Rd","Louisville","KY","40214"
80012,"3506 Charlane Pkwy","Louisville","KY","40299"
80013,"3221 Grant Ave","Louisville","KY","40214"
80014,"1503 Forest Park Rd","Louisville","KY","40223"
80015,"8606 Peggy Dr","Louisville","KY","40219"
80016,"10706 Copper Ridge Dr","Louisville","KY","40241"
80017,"7000 Bedford Ln","Louisville","KY","40222"
80018,"2806 Cleveland Blvd","Louisville","KY","40206"
80019,"7212 Watson Ln","Louisville","KY","40272"
80020,"6903 Matthews Rd","Louisville","KY","40258"
80021,"1013 S 1st St","Louisville","KY","40203"
80022,"5607 Azalea Ln","Louisville","KY","40258"
80023,"4632 Shenandoah Dr","Louisville","KY","40241"
80024,"11495 Brookley Dr","Louisville","KY","40229"
80025,"5350 Rollingwood Trl","Louisville","KY","40214"
80026,"3541 Goldsmith Ln","Louisville","KY","40220"
80027,"7913 Glaser Ln","Louisville","KY","40291"
80028,"111 Brown Ave","Louisville","KY","40207"
80029,"7209 Ben Franklin Ct","Louisville","KY","40214"
80030,"2409 Mcgee Dr","Louisville","KY","40216"
80031,"7209 Gerber Ave","Louisville","KY","40214"
80032,"7701 Bella Woods Ct","Louisville","KY","40214"
80033,"2314 Hale Ave","Louisville","KY","40210"
80034,"1034 Hathaway Ave","Louisville","KY","40215"
80035,"2919 Slevin St","Louisville","KY","40212"
80036,"2223 Alta Ave","Louisville","KY","40205"
80037,"6608 Everton Dr","Louisville","KY","40258"
80038,"7600 Ashleywood Dr","Louisville","KY","40241"
80039,"1770 Wilson Ave","Louisville","KY","40210"
80040,"1612 Mae Street Kidd Ave","Louisville","KY","40211"
80041,"2204 Hale Ave","Louisville","KY","40210"
80042,"4150 Hazelwood Ave","Louisville","KY","40215"
80043,"5603 Nally Ct","Louisville","KY","40216"
80044,"7915 Jonquil Dr","Louisville","KY","40258"
80045,"5510 Sterling Dr","Louisville","KY","40216"
80046,"2208 Alta Ave","Louisville","KY","40205"
80047,"1705 Jefferson Ave","Louisville","KY","40242"
80048,"1427 Highland Ave","Louisville","KY","40204"
80049,"6532 Hunters Chase Ln","Louisville","KY","40258"
80050,"9910 Roundstone Trce","Louisville","KY","40223"
80051,"3435 Park Row Dr","Louisville","KY","40216"
80052,"120 Wood Rd","Louisville","KY","40222"
80053,"1521 Dawn Dr","Louisville","KY","40216"
80054,"4614 Mud Ln","Louisville","KY","40229"
80055,"10609 Cedar Creek Rd","Louisville","KY","40229"
80056,"2108 Emerson Ave","Louisville","KY","40205"
80057,"6620 Orchard Club Pl","Louisville","KY","40291"
80058,"3311 Ridge Brook Cir","Louisville","KY","40245"
80059,"3511 Charlane Pkwy","Louisville","KY","40299"
80060,"7402 Renwood Ct","Apt 204","Louisville",
80061,"755 N Hite Ave","Apt 5","Louisville",
80062,"6913 Arbor Manor Way","Louisville","KY","40228"
80063,"5232 Craigs Creek Dr","Louisville","KY","40241"
80064,"545 Barberry Ln","Louisville","KY","40206"
80065,"4607 Silverleaf Dr","Louisville","KY","40213"
80066,"1783 Wathen Ln","Louisville","KY","40216"
80067,"2400 Overlook Hill Ct","Louisville","KY","40205"
80068,"4101 North Ln","Louisville","KY","40216"
80069,"2909 Explorer Dr","Louisville","KY","40218"
80070,"3209 Hunsinger Ln","Louisville","KY","40220"
80071,"2320 Dulworth Dr","Louisville","KY","40216"
80072,"2201 Polo Mount Ct","Louisville","KY","40245"
80073,"16713 Summit Vista Way","Louisville","KY","40245"
80074,"4704 Kingsmore Dr","Louisville","KY","40229"
80075,"11805 E Orell Rd","Louisville","KY","40272"
80076,"4314 Diamond Way","Louisville","KY","40216"
80077,"2008 Northfield Dr","Louisville","KY","40222"
80078,"612 S 40th St","Louisville","KY","40211"
80079,"6713 Shareith Dr","Louisville","KY","40228"
80080,"2903 Cleveland Blvd","Louisville","KY","40206"
80081,"407 S 40th St","Louisville","KY","40212"
80082,"7806 Columbine Dr","Louisville","KY","40258"
80083,"527 Dale Ave","Louisville","KY","40214"
80084,"7711 Bridlewood Pl","Louisville","KY","40228"
80085,"149 William St","Louisville","KY","40206"
80086,"1038 Kaiser Ct","Louisville","KY","40211"
80087,"1618 Beech St","Louisville","KY","40211"
